measured_voltage,temp
0.025,-18.900232892845704
0.02501,-18.805992875079504
0.02502,-18.711750247137257
0.02503,-18.61750500880134
0.02504,-18.523257159855284
0.02505,-18.429006700081846
0.02506,-18.334753629264558
0.02507,-18.2404979471858
0.02508,-18.14623965362833
0.02509,-18.05197874837607
0.0251,-17.957715231211004
0.02511,-17.863449101916668
0.02512,-17.769180360275435
0.02513,-17.67490900607007
0.02514,-17.580635039083717
0.02515,-17.486358459098753
0.02516,-17.392079265898328
0.02517,-17.29779745926443
0.02518,-17.20351303898059
0.02519,-17.109226004828802
0.0252,-17.014936356591825
0.02521,-16.920644094052427
0.02522,-16.826349216992593
0.02523,-16.732051725195472
0.02524,-16.63775161844306
0.02525,-16.543448896517727
0.02526,-16.44914355920263
0.02527,-16.354835606279746
0.02528,-16.26052503753108
0.02529,-16.166211852739004
0.0253,-16.071896051686668
0.02531,-15.977577634154905
0.02532,-15.88325659992725
0.02533,-15.78893294878531
0.02534,-15.694606680511079
0.02535,-15.600277794887315
0.02536,-15.50594629169563
0.02537,-15.411612170718398
0.02538,-15.317275431737228
0.02539,-15.222936074534497
0.0254,-15.128594098892199
0.02541,-15.034249504592324
0.02542,-14.939902291416484
0.02543,-14.845552459146667
0.02544,-14.751200007565252
0.02545,-14.656844936453464
0.02546,-14.562487245593294
0.02547,-14.468126934766735
0.02548,-14.373764003755394
0.02549,-14.279398452340882
0.0255,-14.185030280304803
0.02551,-14.090659487428768
0.02552,-13.996286073495154
0.02553,-13.901910038284798
0.02554,-13.807531381579311
0.02555,-13.713150103160299
0.02556,-13.618766202809754
0.02557,-13.524379680308517
0.02558,-13.429990535438195
0.02559,-13.335598767980397
0.0256,-13.241204377716345
0.02561,-13.14680736442765
0.02562,-13.052407727895146
0.02563,-12.958005467900445
0.02564,-12.863600584224772
0.02565,-12.769193076649346
0.02566,-12.674782944955394
0.02567,-12.580370188924139
0.02568,-12.485954808336418
0.02569,-12.39153680297384
0.0257,-12.297116172617248
0.02571,-12.202692917047091
0.02572,-12.108267036045364
0.02573,-12.013838529392906
0.02574,-11.919407396869788
0.02575,-11.824973638258001
0.02576,-11.730537253338001
0.02577,-11.636098241890242
0.02578,-11.541656603696332
0.02579,-11.447212338536724
0.0258,-11.352765446191876
0.02581,-11.258315926443393
0.02582,-11.163863779070962
0.02583,-11.069409003855807
0.02584,-10.974951600578766
0.02585,-10.88049156901991
0.02586,-10.786028908960077
0.02587,-10.691563620180107
0.02588,-10.59709570246007
0.02589,-10.502625155580805
0.0259,-10.408151979322767
0.02591,-10.31367617346641
0.02592,-10.219197737791806
0.02593,-10.12471667207979
0.02594,-10.030232976110051
0.02595,-9.93574664966381
0.02596,-9.841257692520756
0.02597,-9.746766104460958
0.02598,-9.652271885265252
0.02599,-9.557775034713329
0.026,-9.463275552585639
0.02601,-9.368773438662252
0.02602,-9.274268692723242
0.02603,-9.179761314548676
0.02604,-9.085251303918627
0.02605,-8.990738660613161
0.02606,-8.896223384411966
0.02607,-8.801705475095497
0.02608,-8.70718493244344
0.02609,-8.612661756235093
0.0261,-8.518135946251297
0.02611,-8.423607502271356
0.02612,-8.32907642407495
0.02613,-8.234542711442154
0.02614,-8.14000636415265
0.02615,-8.045467381986127
0.02616,-7.950925764721883
0.02617,-7.856381512140374
0.02618,-7.761834624020133
0.02619,-7.667285100141613
0.0262,-7.572732940284117
0.02621,-7.478178144227328
0.02622,-7.383620711750164
0.02623,-7.2890606426326965
0.02624,-7.19449793665384
0.02625,-7.099932593593665
0.02626,-7.005364613230705
0.02627,-6.910793995345029
0.02628,-6.816220739715552
0.02629,-6.721644846121194
0.0263,-6.627066314342024
0.02631,-6.532485144156957
0.02632,-6.437901335344911
0.02633,-6.343314887685572
0.02634,-6.24872580095747
0.02635,-6.154134074939525
0.02636,-6.059539709411419
0.02637,-5.9649427041520715
0.02638,-5.8703430589403975
0.02639,-5.775740773555315
0.0264,-5.681135847775739
0.02641,-5.586528281380202
0.02642,-5.491918074148391
0.02643,-5.397305225858836
0.02644,-5.302689736290071
0.02645,-5.208071605221011
0.02646,-5.11345083243019
0.02647,-5.018827417696908
0.02648,-4.924201360799697
0.02649,-4.829572661516705
0.0265,-4.734941319626849
0.02651,-4.6403073349090445
0.02652,-4.54567070714144
0.02653,-4.451031436102568
0.02654,-4.356389521570959
0.02655,-4.2617449633255315
0.02656,-4.167097761144432
0.02657,-4.072447914805809
0.02658,-3.977795424088194
0.02659,-3.883140288770119
0.0266,-3.788482508629732
0.02661,-3.6938220834451805
0.02662,-3.599159012995381
0.02663,-3.5044932970577127
0.02664,-3.409824935410707
0.02665,-3.3151539278328968
0.02666,-3.22048027410166
0.02667,-3.1258039739959136
0.02668,-3.0311250272930366
0.02669,-2.93644343377156
0.0267,-2.841759193208864
0.02671,-2.7470723053834796
0.02672,-2.652382770073555
0.02673,-2.557690587056084
0.02674,-2.4629957561099833
0.02675,-2.368298277012632
0.02676,-2.2735981495417925
0.02677,-2.1788953734752288
0.02678,-2.084189948590703
0.02679,-1.9894818746659795
0.0268,-1.894771151479205
0.02681,-1.8000577788073737
0.02682,-1.7053417564282491
0.02683,-1.610623084119979
0.02684,-1.5159017616595571
0.02685,-1.4211777888243622
0.02686,-1.3264511653929267
0.02687,-1.2317218911414753
0.02688,-1.1369899658481561
0.02689,-1.0422553892903474
0.0269,-0.9475181612450437
0.02691,-0.852778281490008
0.02692,-0.7580357498026189
0.02693,-0.6632905659598705
0.02694,-0.5685427297391416
0.02695,-0.47379224091781075
0.02696,-0.37903909927248775
0.02697,-0.2842833045813201
0.02698,-0.18952485662091761
0.02699,-0.09476375516788986
0.027,-0.0
0.02701,0.09476640910575779
0.02702,0.18953547237277382
0.02703,0.2843071900236695
0.02704,0.37908156228183504
0.02705,0.4738585893702764
0.02706,0.5686382715116148
0.02707,0.6634206089296253
0.02708,0.7582056018473134
0.02709,0.8529932504876853
0.0271,0.947783555074131
0.02711,1.042576515830041
0.02712,1.137372132978421
0.02713,1.2321704067430461
0.02714,1.3269713373469219
0.02715,1.4217749250130545
0.02716,1.5165811699659872
0.02717,1.6113900724283419
0.02718,1.7062016326235085
0.02719,1.8010158507756464
0.0272,1.8958327271081463
0.02721,1.9906522618440137
0.02722,2.085474455207408
0.02723,2.1802993074217194
0.02724,2.275126818710723
0.02725,2.369956989298578
0.02726,2.46478981940829
0.02727,2.559625309263634
0.02728,2.6544634590891536
0.02729,2.7493042691078555
0.0273,2.8441477395442822
0.02731,2.93899387062221
0.02732,3.0338426625650277
0.02733,3.12869411559728
0.02734,3.2235482299427414
0.02735,3.3184050058255714
0.02736,3.413264443469161
0.02737,3.5081265430988213
0.02738,3.6029913049375595
0.02739,3.697858729210304
0.0274,3.792728816140444
0.02741,3.887601565952524
0.02742,3.9824769788710883
0.02743,4.077355055120679
0.02744,4.172235794924689
0.02745,4.26711919850766
0.02746,4.362005266094906
0.02747,4.456893997909432
0.02748,4.551785394176936
0.02749,4.6466794551208075
0.0275,4.7415761809663595
0.02751,4.836475571937752
0.02752,4.931377628259528
0.02753,5.026282350156618
0.02754,5.121189737853177
0.02755,5.216099791573753
0.02756,5.311012511543656
0.02757,5.405927897987431
0.02758,5.500845951129623
0.02759,5.595766671194773
0.0276,5.6906900584081965
0.02761,5.785616112994435
0.02762,5.880544835178418
0.02763,5.9754762251850755
0.02764,6.070410283239717
0.02765,6.165347009566504
0.02766,6.260286404391132
0.02767,6.355228467938147
0.02768,6.45017320043286
0.02769,6.545120602100585
0.0277,6.6400706731662495
0.02771,6.735023413854782
0.02772,6.829978824391881
0.02773,6.924936905002088
0.02774,7.019897655911103
0.02775,7.114861077344236
0.02776,7.209827169526417
0.02777,7.304795932683727
0.02778,7.399767367041095
0.02779,7.494741472823449
0.0278,7.589718250257255
0.02781,7.684697699567442
0.02782,7.779679820978938
0.02783,7.874664614718593
0.02784,7.969652081010952
0.02785,8.06464222008171
0.02786,8.159635032157338
0.02787,8.254630517462374
0.02788,8.349628676222904
0.02789,8.444629508665393
0.0279,8.539633015014385
0.02791,8.63463919549673
0.02792,8.72964805033774
0.02793,8.824659579763114
0.02794,8.919673783998935
0.02795,9.014690663271281
0.02796,9.109710217805853
0.02797,9.204732447829114
0.02798,9.29975735356638
0.02799,9.394784935244115
0.028,9.4898151930884
0.02801,9.584848127325321
0.02802,9.679883738180571
0.02803,9.774922025881386
0.02804,9.869962990652697
0.02805,9.965006632721735
0.02806,10.060052952314201
0.02807,10.155101949656562
0.02808,10.25015362497528
0.02809,10.345207978496822
0.0281,10.440265010446888
0.02811,10.535324721052714
0.02812,10.630387110540761
0.02813,10.725452179136733
0.02814,10.820519927067858
0.02815,10.915590354560225
0.02816,11.010663461841064
0.02817,11.105739249136459
0.02818,11.200817716672876
0.02819,11.29589886467755
0.0282,11.390982693377332
0.02821,11.486069202998305
0.02822,11.581158393767316
0.02823,11.676250265911989
0.02824,11.771344819658019
0.02825,11.866442055233026
0.02826,11.961541972864246
0.02827,12.05664457277776
0.02828,12.151749855200803
0.02829,12.246857820360612
0.0283,12.341968468484037
0.02831,12.437081799798312
0.02832,12.532197814530672
0.02833,12.62731651290797
0.02834,12.722437895157055
0.02835,12.817561961505932
0.02836,12.912688712181069
0.02837,13.007818147410083
0.02838,13.102950267420594
0.02839,13.198085072439069
0.0284,13.293222562693511
0.02841,13.388362738411542
0.02842,13.483505599819628
0.02843,13.578651147146156
0.02844,13.673799380618362
0.02845,13.768950300463482
0.02846,13.864103906909135
0.02847,13.959260200183326
0.02848,14.054419180513289
0.02849,14.14958084812626
0.0285,14.244745203251012
0.02851,14.339912246114396
0.02852,14.435081976944417
0.02853,14.530254395969077
0.02854,14.625429503415614
0.02855,14.72060729951203
0.02856,14.815787784486716
0.02857,14.910970958567288
0.02858,15.006156821981756
0.02859,15.101345374957349
0.0286,15.196536617723229
0.02861,15.291730550506246
0.02862,15.386927173535941
0.02863,15.48212648703878
0.02864,15.577328491243922
0.02865,15.672533186379756
0.02866,15.767740572673516
0.02867,15.862950650353977
0.02868,15.958163419649141
0.02869,16.053378880787783
0.0287,16.148597033997905
0.02871,16.243817879507898
0.02872,16.339041417546152
0.02873,16.434267648341052
0.02874,16.529496572120987
0.02875,16.624728189114734
0.02876,16.719962499550295
0.02877,16.815199503656828
0.02878,16.910439201662335
0.02879,17.005681593795977
0.0288,17.100926680285756
0.02881,17.196174461361217
0.02882,17.291424937250362
0.02883,17.38667810818235
0.02884,17.481933974385566
0.02885,17.577192536088784
0.02886,17.67245379352155
0.02887,17.767717746912254
0.02888,17.86298439648928
0.02889,17.958253742482558
0.0289,18.053525785120474
0.02891,18.148800524632186
0.02892,18.244077961246468
0.02893,18.339358095192864
0.02894,18.434640926700144
0.02895,18.52992645599747
0.02896,18.62521468331438
0.02897,18.720505608879265
0.02898,18.81579923292205
0.02899,18.911095555672276
0.029,19.006394577357952
0.02901,19.10169629820977
0.02902,19.19700071845612
0.02903,19.29230783832693
0.02904,19.387617658051738
0.02905,19.482930177859323
0.02906,19.57824539797999
0.02907,19.673563318642522
0.02908,19.768883940077217
0.02909,19.864207262512856
0.0291,19.959533286179752
0.02911,20.054862011307442
0.02912,20.150193438125086
0.02913,20.24552756686261
0.02914,20.340864397750327
0.02915,20.436203931017396
0.02916,20.531546166893737
0.02917,20.62689110560967
0.02918,20.722238747394726
0.02919,20.81758909247846
0.0292,20.912942141091175
0.02921,21.0082978934628
0.02922,21.10365634982365
0.02923,21.199017510403642
0.02924,21.294381375432327
0.02925,21.389747945140396
0.02926,21.48511721975739
0.02927,21.580489199514016
0.02928,21.67586388464057
0.02929,21.77124127536699
0.0293,21.86662137192358
0.02931,21.962004174540652
0.02932,22.057389683448523
0.02933,22.152777898877883
0.02934,22.24816882105866
0.02935,22.34356245022155
0.02936,22.438958786596867
0.02937,22.534357830415303
0.02938,22.62975958190717
0.02939,22.725164041303163
0.0294,22.82057120883398
0.02941,22.915981084729932
0.02942,23.01139366922248
0.02943,23.10680896254117
0.02944,23.202226964917465
0.02945,23.29764767658206
0.02946,23.39307109776527
0.02947,23.488497228698556
0.02948,23.583926069612613
0.02949,23.67935762073814
0.0295,23.774791882306218
0.02951,23.87022885454792
0.02952,23.965668537693563
0.02953,24.061110931974998
0.02954,24.1565560376233
0.02955,24.252003854868786
0.02956,24.347454383942914
0.02957,24.442907625077538
0.02958,24.53836357850258
0.02959,24.63382224445028
0.0296,24.729283623151716
0.02961,24.824747714837578
0.02962,24.920214519740107
0.02963,25.015684038089613
0.02964,25.111156270118325
0.02965,25.20663121605733
0.02966,25.302108876138085
0.02967,25.397589250592063
0.02968,25.493072339651107
0.02969,25.588558143546297
0.0297,25.684046662509488
0.02971,25.779537896772137
0.02972,25.875031846565715
0.02973,25.970528512122453
0.02974,26.066027893673816
0.02975,26.161529991451268
0.02976,26.257034805687045
0.02977,26.352542336612608
0.02978,26.448052584460196
0.02979,26.543565549460883
0.0298,26.639081231847673
0.02981,26.73459963185165
0.02982,26.83012074970543
0.02983,26.925644585640477
0.02984,27.021171139889024
0.02985,27.116700412683308
0.02986,27.212232404255175
0.02987,27.30776711483686
0.02988,27.403304544660596
0.02989,27.498844693959
0.0299,27.59438756296354
0.02991,27.689933151906832
0.02992,27.785481461021497
0.02993,27.88103249053938
0.02994,27.9765862406931
0.02995,28.07214271171489
0.02996,28.167701903837756
0.02997,28.26326381729316
0.02998,28.358828452314874
0.02999,28.45439580913398
0.03,28.54996588798425
0.03001,28.64553868909791
0.03002,28.74111421270759
0.03003,28.8366924590459
0.03004,28.93227342834546
0.03005,29.027857120839275
0.03006,29.12344353675996
0.03007,29.219032676340518
0.03008,29.314624539813185
0.03009,29.410219127411345
0.0301,29.505816439368004
0.03011,29.60141647591578
0.03012,29.697019237288053
0.03013,29.792624723717452
0.03014,29.888232935436974
0.03015,29.983843872680005
0.03016,30.079457535679165
0.03017,30.175073924667842
0.03018,30.270693039879802
0.03019,30.36631488154729
0.0302,30.461939449904065
0.03021,30.557566745183138
0.03022,30.65319676761828
0.03023,30.748829517442104
0.03024,30.84446499488877
0.03025,30.94010320019128
0.03026,31.035744133583023
0.03027,31.13138779529777
0.03028,31.22703418556852
0.03029,31.322683304629045
0.0303,31.418335152713123
0.03031,31.513989730054135
0.03032,31.609647036885853
0.03033,31.70530707344167
0.03034,31.800969839955734
0.03035,31.896635336661436
0.03036,31.99230356379255
0.03037,32.08797452158323
0.03038,32.18364821026686
0.03039,32.279324630077596
0.0304,32.37500378124922
0.03041,32.470685664015875
0.03042,32.56637027861096
0.03043,32.66205762526901
0.03044,32.757747704224556
0.03045,32.853440515710226
0.03046,32.94913605996133
0.03047,33.04483433721165
0.03048,33.14053534769532
0.03049,33.23623909164651
0.0305,33.33194556929937
0.03051,33.427654780888446
0.03052,33.52336672664789
0.03053,33.61908140681225
0.03054,33.71479882161528
0.03055,33.81051897129232
0.03056,33.90624185607711
0.03057,34.001967476203816
0.03058,34.09769583190814
0.03059,34.193426923423466
0.0306,34.289160750985104
0.03061,34.38489731482721
0.03062,34.4806366151847
0.03063,34.57637865229174
0.03064,34.672123426383635
0.03065,34.76787093769532
0.03066,34.86362118646094
0.03067,34.95937417291542
0.03068,35.05512989729369
0.03069,35.150888359830674
0.0307,35.24664956076168
0.03071,35.342413500320866
0.03072,35.43818017874316
0.03073,35.533949596264634
0.03074,35.62972175311945
0.03075,35.72549664954291
0.03076,35.821274285770336
0.03077,35.91705466203626
0.03078,36.01283777857637
0.03079,36.10862363562598
0.0308,36.20441223342003
0.03081,36.300203572193425
0.03082,36.39599765218264
0.03083,36.491794473622214
0.03084,36.58759403674706
0.03085,36.683396341794044
0.03086,36.77920138899693
0.03087,36.87500917859256
0.03088,36.97081971081548
0.03089,37.06663298590177
0.0309,37.16244900408712
0.03091,37.258267765606846
0.03092,37.35408927069663
0.03093,37.44991351959218
0.03094,37.54574051252918
0.03095,37.64157024974333
0.03096,37.73740273147071
0.03097,37.83323795794662
0.03098,37.92907592940753
0.03099,38.02491664608914
0.031,38.12076010822675
0.03101,38.2166063160572
0.03102,38.31245526981621
0.03103,38.40830696973945
0.03104,38.50416141606301
0.03105,38.60001860902335
0.03106,38.69587854885655
0.03107,38.791741235798305
0.03108,38.88760667008584
0.03109,38.983474851954085
0.0311,39.079345781639894
0.03111,39.17521945937972
0.03112,39.27109588540965
0.03113,39.36697505996614
